0,0,,,,,,,,,0,,
1,0,,,,,,,,,0,,
2,372827629663,,,,,,,,,372827629663,,
3,4924895159724,,,,,,,,,4924895159724,,
4,0,,,,,,,,,0,,
5,0,,,,,,,,,0,,
6,3.55340490135635E+016,,,,,,,,,3.55340490135635E+016,,
7,0,,,,,,,,,0,,
8,4.14321737037208E+016,,,,,,,,,4.14321737037208E+016,,
9,3.18230180603009E+016,,,,,,,,,3.18230180603009E+016,,
10,3.08783156618325E+016,,,,,,,,,3.08783156618325E+016,,
11,0,,,,,,,,,0,,
12,1.64550400803904E+016,,,,,,,,,1.64550400803904E+016,,
13,6264155303455112,,,,,,,,,6264155303455112,,
14,2.40498858756664E+017,,,,,,,,,2.40498858756664E+017,,
15,0,,,,,,,,,0,,
16,2.69890162849268E+017,,,,,,,,,2.69890162849268E+017,,
17,0,,,,,,,,,0,,
18,1.59839302553558E+017,,,,,,,,,1.59839302553558E+017,,
19,1.59473905188075E+017,,,,,,,,,1.59473905188075E+017,,
20,7293783952239229,,,,,,,,,7293783952239229,,
21,1.58620843965822E+017,,,,,,,,,1.58620843965822E+017,,
22,1.58255470182724E+017,,,,,,,,,1.58255470182724E+017,,
23,1.58039574096948E+017,,,,,,,,,1.58039574096948E+017,,
24,1972423869460291,,,,,,,,,1972423869460291,,
25,6.16780004091383E+016,,,,,,,,,6.16780004091383E+016,,
26,1.5667059398145E+017,,,,,,,,,1.5667059398145E+017,,
27,1.49000522261137E+017,,,,,,,,,1.49000522261137E+017,,
28,3.02086262084137E+016,,,,,,,,,3.02086262084137E+016,,
29,1.48148089886261E+017,,,,,,,,,1.48148089886261E+017,,
30,0,,,,,,,,,0,,
31,1.47612182713281E+017,,,,,,,,,1.47612182713281E+017,,
32,0,,,,,,,,,0,,
33,3.18341373522429E+017,,,,,,,,,3.18341373522429E+017,,
34,2.92963870715793E+016,,,,,,,,,2.92963870715793E+016,,
35,1.45346966603361E+016,,,,,,,,,1.45346966603361E+016,,
36,0,,,,,,,,,0,,
37,2.63359904735856E+017,,,,,,,,,2.63359904735856E+017,,
38,4.33296148651228E+016,,,,,,,,,4.33296148651228E+016,,
39,8473808118981061,,,,,,,,,8473808118981061,,
40,1.73089993860951E+017,,,,,,,,,1.73089993860951E+017,,
41,1188319344594844,,,,,,,,,1188319344594844,,
42,1434367832518313,,,,,,,,,1434367832518313,,
43,1.84407986074246E+016,,,,,,,,,1.84407986074246E+016,,
44,4.613466843264E+017,,,,,,,,,4.613466843264E+017,,
45,1.42539975504253E+017,,,,,,,,,1.42539975504253E+017,,
46,0,,,,,,,,,0,,
47,0,,,,,,,,,0,,
48,1913220713395087,,,,,,,,,1913220713395087,,
49,0,,,,,,,,,0,,
50,1412414196949352,,,,,,,,,1412414196949352,,
51,0,,,,,,,,,0,,
52,1.03042985244758E+017,,,,,,,,,1.03042985244758E+017,,
53,2.80169497141228E+017,,,,,,,,,2.80169497141228E+017,,
54,1932139323584985,,,,,,,,,1932139323584985,,
55,1.77498240226486E+018,,,,,,,,,1.77498240226486E+018,,
56,0,,,,,,,,,0,,
57,1.39357258456128E+017,,,,,,,,,1.39357258456128E+017,,
58,5.33101654195144E+017,,,,,,,,,5.33101654195144E+017,,
59,1.07159910540438E+016,,,,,,,,,1.07159910540438E+016,,
60,9.86983258926867E+015,,,,,,,,,9.86983258926867E+015,,
61,0,,,,,,,,,0,,
62,4923016926102354,,,,,,,,,4923016926102354,,
63,1.36409076522E+016,,,,,,,,,1.36409076522E+016,,
64,0,,,,,,,,,0,,
65,5717974586115078,,,,,,,,,5717974586115078,,
66,0,,,,,,,,,0,,
67,6.96418292487132E+016,,,,,,,,,6.96418292487132E+016,,
68,2.63523267240338E+016,,,,,,,,,2.63523267240338E+016,,
69,2.7114618309029E+016,,,,,,,,,2.7114618309029E+016,,
70,0,,,,,,,,,0,,
71,1.32233426590147E+016,,,,,,,,,1.32233426590147E+016,,
72,1.14142562104348E+016,,,,,,,,,1.14142562104348E+016,,
73,5266941349562736,,,,,,,,,5266941349562736,,
74,2.37579600522528E+016,,,,,,,,,2.37579600522528E+016,,
75,7.33712822620344E+016,,,,,,,,,7.33712822620344E+016,,
76,5581192964455039,,,,,,,,,5581192964455039,,
77,1.88759464210165E+016,,,,,,,,,1.88759464210165E+016,,
78,3.28799814664401E+016,,,,,,,,,3.28799814664401E+016,,
79,2.09149281341742E+016,,,,,,,,,2.09149281341742E+016,,
80,1.34628593349989E+017,,,,,,,,,1.34628593349989E+017,,
81,3.81154448636509E+017,,,,,,,,,3.81154448636509E+017,,
82,6.51329961986597E+016,,,,,,,,,6.51329961986597E+016,,
83,2.14147583482344E+016,,,,,,,,,2.14147583482344E+016,,
84,5018799854745739,,,,,,,,,5018799854745739,,
85,7763654475846299,,,,,,,,,7763654475846299,,
86,0,,,,,,,,,0,,
87,3.80926644344946E+018,,,,,,,,,3.80926644344946E+018,,
88,265758091192051,,,,,,,,,265758091192051,,
89,2.47722987585738E+016,,,,,,,,,2.47722987585738E+016,,
90,0,,,,,,,,,0,,
91,0,,,,,,,,,0,,
92,2364922227378723,,,,,,,,,2364922227378723,,
93,8.70862035304792E+016,,,,,,,,,8.70862035304792E+016,,
94,290873491211746,,,,,,,,,290873491211746,,
95,797389107868827,,,,,,,,,797389107868827,,
96,0,,,,,,,,,0,,
97,0,,,,,,,,,0,,
98,1.23453833957907E+017,,,,,,,,,1.23453833957907E+017,,
99,243638438419738,,,,,,,,,243638438419738,,
100,0,,,,,,,,,0,,
101,788714299807627,,,,,,,,,788714299807627,,
102,1.39804379178903E+016,,,,,,,,,1.39804379178903E+016,,
103,2972797137721395,,,,,,,,,2972797137721395,,
104,8.61254838148289E+017,,,,,,,,,8.61254838148289E+017,,
105,0,,,,,,,,,0,,
106,0,,,,,,,,,0,,
107,1691691151620192,,,,,,,,,1691691151620192,,
108,1198706468929651,,,,,,,,,1198706468929651,,
109,4765840216641587,,,,,,,,,4765840216641587,,
110,8.72377513341557E+016,,,,,,,,,8.72377513341557E+016,,
111,1.3374372954025E+016,,,,,,,,,1.3374372954025E+016,,
112,2.40962463384839E+017,,,,,,,,,2.40962463384839E+017,,
113,3.31974553556924E+017,,,,,,,,,3.31974553556924E+017,,
114,3.94682407013064E+016,,,,,,,,,3.94682407013064E+016,,
115,1.08664665560707E+016,,,,,,,,,1.08664665560707E+016,,
116,7.69685831204778E+016,,,,,,,,,7.69685831204778E+016,,
117,3.50934185897895E+016,,,,,,,,,3.50934185897895E+016,,
118,2.79788676930122E+017,,,,,,,,,2.79788676930122E+017,,
119,2.31759216142197E+017,,,,,,,,,2.31759216142197E+017,,
120,58196773447678,,,,,,,,,58196773447678,,
121,9.42925503554732E+015,,,,,,,,,9.42925503554732E+015,,
122,1.89823098077399E+017,,,,,,,,,1.89823098077399E+017,,
